TIPO;DIRECCION;IDENTIFICADOR;CODIGO;CODNDP,N,19,0;TIPO DE VALLA;TIPO DE SUELO;LOCALIZACION;ACCESO;N.ELEMENTOS;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX;UTMY
AREA INFANTIL;CALLE SEGOVIA nº 23;12;1015;31028017;0;0;0;0;7;532,55;86,16;0;CENTRO;PALACIO;40,413622;-3,714674;439365,045;4473912,038
AREA INFANTIL;PASEO IMPERIAL nº 26;39;2002;20120126;0;0;0;0;6;179,466;53,92;0;ARGANZUELA;IMPERIAL;40,404885;-3,717751;439096,161;4472944,34
AREA INFANTIL;CALLE SAN ALEJANDRO nº 1;43;2006;31041800;0;0;0;0;7;225,27;64,15;0;ARGANZUELA;IMPERIAL;40,404108;-3,721631;438766,171;4472860,813
AREA INFANTIL;CALLE MELILLA nº 9;66;2034;20123737;0;0;0;0;6;163,165;61,85;0;ARGANZUELA;ACACIAS;40,401528;-3,709688;439777,342;4472566,156
AREA INFANTIL;PASEO VIRGEN DEL PUERTO nº 69;93;2064;31028713;0;0;0;0;4;139,554;47,52;0;ARGANZUELA;IMPERIAL;40,400747;-3,719058;438981,476;4472485,934
AREA INFANTIL;AVENIDA BURGOS nº 32;193;5002;11027414;0;0;0;0;5;266,675;64,99;0;CHAMARTÍN;CASTILLA;40,479281;-3,674824;442801,776;4481173,569
AREA INFANTIL;PLAZA INFANCIA nº 4;197;5006;11026999;0;0;0;0;4;165,251;61,11;0;CHAMARTÍN;CASTILLA;40,470239;-3,680918;442277,496;4480173,88
AREA INFANTIL;PASEO CEREZOS nº 6;214;5024;31049108;0;0;0;0;5;143,939;46,54;0;CHAMARTÍN;HISPANOAMÉRICA;40,453969;-3,664435;443661,153;4478357,299
AREA INFANTIL;CALLE FRANCISCO CAMPOS nº 9;218;5030;20009420;0;0;0;0;5;201,082;60,26;0;CHAMARTÍN;EL VISO;40,443188;-3,679128;442406,109;4477170,116
AREA INFANTIL;CALLE SANTA RITA nº 1;221;5033;31026122;0;0;0;0;8;79,041;39,73;0;CHAMARTÍN;PROSPERIDAD;40,44591;-3,668558;443304,795;4477465,401
AREA INFANTIL;CALLE SAN FERNANDO DEL JARAMA nº 14;227;5039;20052668;0;0;0;0;9;263,153;70,21;0;CHAMARTÍN;PROSPERIDAD;40,439417;-3,675738;442690,399;4476749,313
AREA INFANTIL;CALLE PADRE DAMIAN nº 24;241;5055;31042940;VALLA;ARENA;0;0;9;328,501;73,78;0;CHAMARTÍN;HISPANOAMÉRICA;40,456058;-3,686216;441816,11;4478603,298
AREA INFANTIL;CALLE PASTORA IMPERIO nº 9;244;5058;20105032;0;0;0;0;3;87,249;37,73;0;CHAMARTÍN;CASTILLA;40,48242;-3,674845;442802,681;4481522,026
AREA INFANTIL;CALLE CLAVELINAS nº 1;275;6033;20106942;0;0;0;0;2;225,271;63,67;0;TETUÁN;VALDEACEDERAS;40,468248;-3,700361;440627,525;4479965,79
AREA INFANTIL;CALLE ESPERANZA SANCHEZ CARRASCOSA nº 15;276;6034;11034579;0;0;0;0;1;181,091;51,29;0;TETUÁN;VALDEACEDERAS;40,467636;-3,703481;440362,491;4479900,004
AREA INFANTIL;CALLE MANUEL MARCHAMALO nº 2;295;6059;11031237;0;0;0;0;2;22,935;18,47;0;TETUÁN;ALMENARA;40,465608;-3,695501;441037,173;4479669,507
AREA INFANTIL;CALLE NUMANCIA nº 6;300;6064;20108308;0;0;0;0;4;260,763;68,56;0;TETUÁN;BELLAS VISTAS;40,45413;-3,711969;439630,837;4478406,52
AREA INFANTIL;PLAZA TENIENTE DE ALCALDE PEREZ PILLADO nº 1;321;7019;31035628;0;0;0;0;5;318,818;74,54;0;CHAMBERI;VALLEHERMOSO;40,439353;-3,7071;440030,495;4476762,974
AREA INFANTIL;CALLE ISLA DE TABARCA nº 1;397;8099;20085943;0;0;0;0;6;120,126;43,93;0;FUENCARRAL - ELPARDO;PEÑAGRANDE;40,4765;-3,722022;438798,685;4480896,516
AREA INFANTIL;CALLE ISLA DE YESO nº 5;440;8149;11044939;0;0;0;0;4;69,103;32,43;0;FUENCARRAL - ELPARDO;PEÑAGRANDE;40,479035;-3,724026;438631,158;4481179,373
AREA INFANTIL;AVENIDA BETANZOS nº 81;453;8165;11045690;0;0;0;0;4;78,697;35,47;0;FUENCARRAL - ELPARDO;PEÑAGRANDE;40,481295;-3,713446;439529,9748;4481422,893
AREA INFANTIL;CALLE FRESNEDILLAS nº 12;461;8174;20167454;0;0;0;0;3;103,501;44,82;0;FUENCARRAL - ELPARDO;FUENTELAREINA;40,479692;-3,739455;437323,92;4481263,169
AREA INFANTIL;CALLE CAMARENA nº 59;660;10087;31050930;0;0;0;0;2;96,952;35,27;0;LATINA;ALUCHE;40,394321;-3,755415;435890,103;4471798,348
AREA INFANTIL;PLAZA TARIFA nº 7;730;11031;11076036;0;0;0;0;3;46,555;27,44;0;CARABANCHEL;PUERTA BONITA;40,384169;-3,730624;437984,75;4470653,826
AREA INFANTIL;CALLE PEDRO YAGÜE nº 11;771;11093;31008049;0;0;0;0;4;138,406;47,14;0;CARABANCHEL;COMILLAS;40,392467;-3,707799;439929,56;4471559,135
AREA INFANTIL;CALLE JOAQUIN TURINA nº 20;858;11204;11077551;SIN VALLA;CAUCHO;0;0;2;98,207;39,6;0;CARABANCHEL;BUENAVISTA;40,373087;-3,752741;436097,025;4469439,484
AREA INFANTIL;PASEO ERMITA DEL SANTO nº 74;861;11207;20047746;0;0;0;0;2;94,523;39,07;0;CARABANCHEL;SAN ISIDRO;40,400024;-3,724916;438483,691;4472409,703
AREA INFANTIL;CALLE AZCOITIA nº 31;863;11209;31046075;0;0;0;0;1;91,242;40,38;0;CARABANCHEL;BUENAVISTA;40,37397;-3,754207;435973,37;4469538,612
AREA INFANTIL;CALLE TACONERA nº 2;925;12074;31002395;VALLA;CAUCHO;0;0;4;77,091;36,08;0;USERA;SAN FERMÍN;40,374629;-3,692251;441233,62;4469568,655
AREA INFANTIL;AVENIDA MONTE IGUELDO nº 71;1066;13129;11092245;VALLA METALICA DE COLORINES;SUELO CAUCHO LISO COLOR VERDE;ACERA - ESQUINA;0;3;63,81;39,12;Av · AVENIDA MONTE IGUELDO 69 , ASCENDIENTE 1: 13;PUENTE DE VALLECAS;SAN DIEGO;40,393359;-3,669606;443171,758;4471632,929
AREA INFANTIL;CALLE MONTES UNIVERSALES nº 2;1093;13160;31044745;0;0;0;0;2;91,821;72,71;0;PUENTE DE VALLECAS;SAN DIEGO;40,383853;-3,66476;443575,0535;4470574,591
AREA INFANTIL;CALLE GERMAN PEREZ CARRASCO nº 69;1193;15011;31047651;0;0;0;0;3;47,749;28,21;0;CIUDAD LINEAL;QUINTANA;40,437143;-3,642081;445543,044;4476475,569
AREA INFANTIL;CALLE GOLFO DE SALONICA nº 1;1265;15088;20039186;0;0;0;0;3;76,483;36,28;0;CIUDAD LINEAL;COSTILLARES;40,475162;-3,665785;443564,502;4480710,623
AREA INFANTIL;CALLE NEVADO DEL CUMBAL nº 3;1423;16151;20155820;0;0;0;0;5;952,238;128,55;0;HORTALEZA;PINAR DEL REY;40,469808;-3,633659;446283,3651;4480096,24
AREA INFANTIL;CALLE POTASA nº 26;1526;17091;11126482;0;LOSETAS DE CAUCHO;0;0;1;26,888;21,1;C · CALLE POTASA 20 , ASCENDIENTE 1: 173 · BUTARQ;VILLAVERDE;BUTARQUE;40,351666;-3,680238;442233,849;4467011,914
AREA INFANTIL;CALLE LA CANCION DEL OLVIDO nº 50;1543;17108;11129068;0;ARENA;0;0;4;89,088;38,21;C · CALLE CANCION DEL OLVIDO 50 , ASCENDIENTE 1:;VILLAVERDE;LOS ANGELES;40,360676;-3,699247;440627,478;4468024,564
AREA INFANTIL;AVENIDA MORATILLA DE LOS MELEROS nº 2;1630;18081;31053551;0;ARENA;0;0;5;0;0;0;VILLA DE VALLECAS;CASCO HISTÓRICO DE VALLECAS;40,37384;-3,63362;446210,2689;4469443,787
AREA INFANTIL;AVENIDA MORATILLA DE LOS MELEROS nº 1;1631;18082;31042440;0;ARENA;0;0;3;0;0;rOSILLA ZONA 2;VILLA DE VALLECAS;CASCO HISTÓRICO DE VALLECAS;40,373871;-3,633011;446262,0434;4469446,934
AREA INFANTIL;CALLE BUDAPEST nº 13;1736;20065;20102794;0;ARENA;0;0;10;959,812;110,24;PARQUE SOFIA-OSLO;SAN BLAS - CANILLEJAS;ROSAS;40,427577;-3,601843;448948,5905;4475389,683
AREA INFANTIL;AVENIDA NIZA nº 59;1793;20141;20096829;0;ARENA;0;0;6;242,008;64,17;Trv · TRAVESIA RONDA , ASCENDIENTE 1: 205 · LAS R;SAN BLAS - CANILLEJAS;ROSAS;40,432673;-3,608075;448423,832;4475959,019
AREA INFANTIL;CALLE MANUEL ALONSO nº 8;6400;8006;31051877;0;SUELO DE CAUCHO LISO;0;0;1;66,62;29,26;0;FUENCARRAL - ELPARDO;EL PARDO;40,519691;-3,775906;434273,38;4485729,63
AREA INFANTIL;AVENIDA DOCTOR FEDERICO RUBIO Y GALI nº 63;6401;9150;31041696;0;ARENA;0;0;4;221,56;59,86;0;MONCLOA - ARAVACA;CIUDAD UNIVERSITARIA;40,453112;-3,714446;439419,886;4478295,233
AREA INFANTIL;CAMINO ZARZUELA nº 25;6404;9154;31003974;0;ARENA;0;0;4;933,142;123,02;0;MONCLOA - ARAVACA;VALDEMARÍN;40,465413;-3,786972;433282,263;4479712,992
AREA INFANTIL;CAMINO ZARZUELA nº 25;6405;9156;31003974;0;ARENA;0;0;5;741,435;109,24;0;MONCLOA - ARAVACA;VALDEMARÍN;40,465049;-3,787081;433272,682;4479672,662
AREA INFANTIL;CALLE PROVISIONAL ARROYOFRESNO UNO nº 5;12643;8188;31055368;0;0;0;0;0;0;0;0;FUENCARRAL - ELPARDO;MIRASIERRA;40,491461;-3,726837;438404,2368;4482560,611
AREA INFANTIL;CALLE PROVISIONAL ARROYOFRESNO UNO nº 5;12644;8189;31055368;0;0;0;0;0;0;0;0;FUENCARRAL - ELPARDO;MIRASIERRA;40,491646;-3,727224;438371,6156;4482581,387
AREA INFANTIL;CALLE MADRE TERESA DE CALCUTA nº 61;12645;8190;31052786;0;0;0;0;0;0;0;0;FUENCARRAL - ELPARDO;MIRASIERRA;40,490976;-3,728273;438282,1008;4482507,739
AREA INFANTIL;CALLE MARIA DE MAEZTU nº 108;12649;8187;31052003;0;0;0;0;0;0;0;0;FUENCARRAL - ELPARDO;MIRASIERRA;40,492477;-3,726153;438463,1157;4482672,935
AREA INFANTIL;AVENIDA ENSANCHE DE VALLECAS nº 48;12719;18089;31018258;0;0;0;0;7;0;0;0;VILLA DE VALLECAS;SANTA EUGENIA;40,367288;-3,608391;448347,05;4468701,546
AREA INFANTIL;CALLE FERNANDO HIGUERAS nº 11;12733;21056;31043956;0;0;0;0;1;0;0;0;BARAJAS;TIMÓN;40,486198;-3,613548;448000,862;4481903,463
AREA INFANTIL;PLAZA PEÑA GUDINA nº 1;1091;13158;31045145;0;0;0;0;7;154,875;48,98;0;PUENTE DE VALLECAS;PALOMERAS BAJAS;40,386533;-3,663807;443658,25;4470871,562
AREA INFANTIL;PASEO LA HABANA nº 13;236;5049;11020892;0;0;0;0;4;195,876;62,68;0;CHAMARTÍN;EL VISO;40,449631;-3,688592;441609,11;4477891,438
AREA INFANTIL;PLAZA PROSPERIDAD nº 4;222;5034;11023887;0;0;0;0;6;359,576;77,71;0;CHAMARTÍN;CIUDAD JARDÍN;40,444368;-3,674794;442774,723;4477298,201
AREA INFANTIL;PLAZA VERIN nº 8;460;8172;31045314;0;0;0;0;6;124,719;45,05;0;FUENCARRAL - ELPARDO;PILAR;40,47678;-3,710331;439789,958;4480919,595
AREA INFANTIL;PLAZA PADRON nº 6;459;8171;20105263;0;0;0;0;6;134,204;46,98;0;FUENCARRAL - ELPARDO;PILAR;40,477012;-3,706948;440076,913;4480943,085
AREA INFANTIL;PLAZA SAGRADO CORAZON DE JESUS nº 2;217;5029;11023931;0;0;0;0;7;620,147;102,54;0;CHAMARTÍN;CIUDAD JARDÍN;40,445039;-3,676753;442609,158;4477374,034
AREA INFANTIL;CALLE JATIVA nº 13;157;3057;20152392;SIN VALLA;SUELO CAUCHO LISO;EN ZONA INTERBLOQUES;0;1;74,975;30,82;C · CALLE HERMANOS RUIZ 7-13 , ASCENDIENTE 1: 031;RETIRO;ADELFAS;40,399631;-3,674018;442802,591;4472331,923
AREA INFANTIL;PLAZA DOS DE MAYO nº 1;5;1007;11006159;VALLA DE MADERA COLOR VERDE;ARENA;EN PLAZA;ACCESO CON TRAMEX;8;237,781;71,47;Pza · PLAZA DEL DOS DE MAYO 2 , ASCENDIENTE 1: 01;CENTRO;UNIVERSIDAD;40,426799;-3,704341;440253,39;4475367,616
AREA INFANTIL;PLAZA RASTRILLO nº 1;18;1021;11005850;VALLA METALICA VERDE;SUELO CAUCHO LISO;PLAZA;0;3;66,479;32,59;Pza · PLAZA JUAN PUJOL , ASCENDIENTE 1: 015 · UNI;CENTRO;UNIVERSIDAD;40,425321;-3,703876;440291,573;4475203,25
AREA INFANTIL;CALLE GOIRI nº 19;298;6062;31043760;VALLA METALICA CON COLORINES;SUELO CAUCHO LISO;PLAZA;0;3;55,32;29,73;PLAZA POETA LEOPOLDO LUIS;TETUÁN;BELLAS VISTAS;40,453321;-3,704026;440303,632;4478311,363
AREA INFANTIL;BULEVAR JOSE PRAT nº 7;1666;19034;20124364;VALLA METALICA CON COLORINES;ARENA;EN ZONA DE BULEVAR;0;5;165,358;51,38;C · CALLE BULEVAR JOSE PRAT , ASCENDIENTE 1: 191;VICALVARO;AMBROZ;40,398087;-3,624331;447017,861;4472129,625
AREA INFANTIL;CALLE FUENCARRAL nº 131;326;7026;11039961;VALLA METALICA CON COLORINES;SUELO CAUCHO CON DIBUJOS;ACERA GRAN ANCHURA;0;3;99,743;45,34;0;CHAMBERI;TRAFALGAR;40,431531;-3,70353;440326,412;4475892,304
AREA INFANTIL;CALLE FUENCARRAL nº 147;325;7025;11039969;VALLA METALICA CON COLORINES;SUELO CAUCHO CON DIBUJOS;ACERA GRAN ANCHURA;0;3;102,244;46,02;0;CHAMBERI;TRAFALGAR;40,432803;-3,704091;440279,906;4476033,919
AREA INFANTIL;CALLE MARQUES DE LA ENSENADA nº 1;35;1042;31052952;VALLA METALICA CON COLORINES;ARENA;EN JARDINES DE LA PLAZA DE LA VILLA DE PARIS;0;3;289,265;68,03;JARDINES DE LA PLAZA VILLA DE PARIS;CENTRO;JUSTICIA;40,425391;-3,692659;441243,12;4475203,511
AREA INFANTIL;CALLE MARQUES DE LA ENSENADA nº 1;6;1009;31052952;VALLA METALICA CON COLORINES;ARENA;EN JARDINES DE LA PLAZA DE LA VILLA DE PARIS;0;7;243,984;62,81;JARDINES DE LA PLAZA VILLA DE PARIS;CENTRO;JUSTICIA;40,425356;-3,692508;441255,898;4475199,543
AREA INFANTIL;CALLE ARROYOFRESNO nº 18;573;9139;31044522;VALLA DE MADERA CON COLORINES;SUELO CAUCHO DE LOSETAS;PARQUE;ACCESO CON VALLA RETRANQUEADA;5;124,345;44,56;C · CALLE ARROYOFRESNO 13B , ASCENDIENTE 1: 093 ·;MONCLOA - ARAVACA;CIUDAD UNIVERSITARIA;40,47272;-3,744451;436893,926;4480492,781
AREA INFANTIL;CALLE VALMOJADO nº 10;704;10148;31044415;VALLA METALICA CON COLORINES;SUELO CAUCHO LISO;EN PARQUE ALUCHE;ACCESO CON VALLA RETRANQUEADA;6;182,353;56,17;PARQUE ALUCHE;LATINA;ALUCHE;40,391444;-3,758821;435598,331;4471481,536
AREA INFANTIL;CALLE DOCTOR TOLOSA LATOUR nº 11;951;12106;31011675;VALLA DE INFRAESTRUCTURA;SUELO CAUCHO LISO;0;ZONA ANILLO VERDE CICLISTA;5;123,556;56,27;C · CALLE DOCTOR TOLOSA LATOUR , ASCENDIENTE 1: 1;USERA;ORCASUR;40,373349;-3,701609;440438,0267;4469432,843
AREA INFANTIL;CALLE PADRE CLARET nº 7;225;5037;31049524;VALLA METALICA CON COLORINES;ARENA;0;ACCESO CON VALLA RETRANQUEADA;8;583,508;96,56;C · CALLE CORAZÓN DE MARÍA , ASCENDIENTE 1: 052 ·;CHAMARTÍN;PROSPERIDAD;40,445644;-3,666018;443519,997;4477434,229
AREA INFANTIL;CALLE PADRE CLARET nº 2;226;5038;11022857;VALLA METALICA CON COLORINES;ARENA;0;0;12;508,255;98,41;Jar · JARDINES LUIS DE TRELLES , ASCENDIENTE 1: 0;CHAMARTÍN;PROSPERIDAD;40,445122;-3,664458;443651,835;4477375,242
AREA INFANTIL;CALLE CORAZON DE MARIA nº 84;224;5036;11023008;VALLA METALICA CON COLORINES;ARENA;0;0;5;359,337;75,8;C · CALLE CORAZÓN DE MARÍA , ASCENDIENTE 1: 052 ·;CHAMARTÍN;PROSPERIDAD;40,448122;-3,665019;443606,746;4477708,618
AREA INFANTIL;CALLE ALBAICIN nº 19;954;12110;31024076;SIN VALLA;ARENA;0;0;5;427,06;81,87;CL. CAMPOTEJAR - CL. FERNANDO ORTIZ;USERA;ORCASUR;40,368209;-3,703109;440306,148;4468863,377
AREA INFANTIL;GLORIETA SANTA MARIA DE LA CABEZA nº 12;57;2024;31033184;VALLA METALICA CON COLORINES;ARENA;0;0;4;528,29;93,37;Gta · GLORIETA SANTA MARIA DE LA CABEZA , ASCENDI;ARGANZUELA;ACACIAS;40,400786;-3,699872;440609,658;4472477,211
AREA INFANTIL;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS nº 15;54;2085;31041998;VALLA DE INFRAESTRUCTURA;ARENA;EN PARQIE PE?UELAS;0;2;333,439;72,96;0;ARGANZUELA;ACACIAS;40,400674;-3,704861;440186,129;4472468,133
AREA INFANTIL;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS nº 15;3474;2021;31041998;CERRAMIENTO DE ESTRUCTURA CON PERGOLA;SUELO CAUCHO DE LOSETAS;EN PARQIE PE?UELAS;0;5;330,791;72,67;Pq · PARQUE PEÑUELAS , ASCENDIENTE 1: 022 · ACACI;ARGANZUELA;ACACIAS;40,400767;-3,705124;440163,909;4472478,602
AREA INFANTIL;AVENIDA INSTITUCION LIBRE DE ENSEÑANZA nº 128;1252;15073;11107019;VALLA DE MADERA COLOR VERDE;ARENA;0;0;4;184,317;50,75;C · CALLE GANDHI , ASCENDIENTE 1: 152 · PUEBLO NU;CIUDAD LINEAL;PUEBLO NUEVO;40,42582;-3,629728;446581,827;4475211,203
AREA INFANTIL;CALLE GABRIEL MONTERO nº 5;1253;15074;20076103;VALLA DE MADERA CON COLORINES;ARENA;0;0;4;145,809;48,88;C · CALLE GANDHI , ASCENDIENTE 1: 152 · PUEBLO NU;CIUDAD LINEAL;PUEBLO NUEVO;40,425313;-3,629981;446559,921;4475155,086
AREA INFANTIL;AVENIDA ARCENTALES nº 2;1784;20128;31033769;VALLA METALICA COLOR VERDE;ARENA;EN PARQUE EL PARAISO;0;6;486,425;98,77;PARQUE DEL PARAISO;SAN BLAS - CANILLEJAS;AMPOSTA;40,424811;-3,626931;446818,246;4475097,504
AREA INFANTIL;AVENIDA INSTITUCION LIBRE DE ENSEÑANZA nº 95;1789;20137;11135506;VALLA METALICA CON COLORINES;ARENA;EN PARQUE EL PARAISO;0;4;113,308;41,45;Pq · PARQUE AJOFRIN , ASCENDIENTE 1: 203 · AMPOST;SAN BLAS - CANILLEJAS;AMPOSTA;40,42442;-3,626489;446855,455;4475053,848
AREA INFANTIL;AVENIDA ARCENTALES nº 2;1783;20127;31033769;VALLA DE MADERA COLOR VERDE;ARENA;EN PARQUE EL PARAISO;0;4;151,101;49,13;PARQUE DEL PARAISO;SAN BLAS - CANILLEJAS;AMPOSTA;40,425556;-3,626163;446884,059;4475179,734
AREA INFANTIL;CALLE CERRAJERIA nº 2;1785;20129;11135274;VALLA METALICA CON COLORINES;ARENA;EN PARQUE EL PARAISO;0;7;431,148;90,18;C · CALLE FUMISTERIA , ASCENDIENTE 1: 203 · AMPOS;SAN BLAS - CANILLEJAS;AMPOSTA;40,426429;-3,623393;447119,678;4475275,022
AREA INFANTIL;AVENIDA ARCENTALES nº 4;1786;20130;31041888;VALLA METALICA CON COLORINES;ARENA;EN PARQUE EL PARAISO;0;2;131,924;48,69;PARQUE DEL PARAISO;SAN BLAS - CANILLEJAS;HELLÍN;40,430395;-3,621647;447270,901;4475714,094
AREA INFANTIL;CALLE DECORADORES nº 2;1830;20179;11134852;SIN VALLA;ARENA;EN PARQUE EL PARAISO;0;2;199,88;57,7;PARQUE DEL PARAISO;SAN BLAS - CANILLEJAS;HELLÍN;40,43298;-3,620173;447397,919;4476000,151
AREA INFANTIL;CALLE ALBAIDA nº 36;1831;20180;11134964;VALLA METALICA COLOR VERDE;ARENA;EN PARQUE EL PARAISO;0;5;177,776;60,09;PARQUE DEL PARAISO;SAN BLAS - CANILLEJAS;HELLÍN;40,433486;-3,617999;447582,677;4476055,13
AREA INFANTIL;AVENIDA VALDEMARIN nº 111;3651;9153;20166361;SIN VALLA;ARENA;EN PARQUE AVD DE VALDEMARIN;0;1;183,138;57,89;0;MONCLOA - ARAVACA;VALDEMARÍN;40,466608;-3,787847;433209,26;4479846,233
AREA INFANTIL;CALLE SEIS DE DICIEMBRE nº 26;3725;9155;31005388;VALLA METALICA CON COLORINES;ARENA;EN PARQUE CUESTA DEL GALBAN;ACCESO CON VALLA RETRANQUEADA;4;102,267;42,26;0;MONCLOA - ARAVACA;ARAVACA;40,449987;-3,773535;434406,4;4477990,55
AREA INFANTIL;CALLE CARTAGO nº 29;1807;20156;31016729;VALLA METALICA CON COLORINES;ARENA;EN ZONA DE BULEVAR;0;4;110,701;40,46;C · CALLE SAN VENANCIO 29 , ASCENDIENTE 1: 207 ·;SAN BLAS - CANILLEJAS;CANILLEJAS;40,447022;-3,607401;448491,955;4477551,389
AREA INFANTIL;CALLE GONZALO TORRENTE BALLESTER nº 2;1808;20157;31016091;VALLA METALICA CON COLORINES;ARENA;EN ZONA DE BULEVAR;0;1;112,835;40,89;C · CALLE SAN VENANCIO 29 , ASCENDIENTE 1: 207 ·;SAN BLAS - CANILLEJAS;CANILLEJAS;40,446761;-3,607204;448508,463;4477522,279
AREA INFANTIL;CALLE SAN VALENTIN nº 16;1765;20103;11138435;VALLA METALICA CON COLORINES;ARENA;EN ZONA INTERBLOQUES;ACCESO CON VALLA RETRANQUEADA;4;82,833;32,25;C · CALLE SAN VALENTIN 14-16 , ASCENDIENTE 1: 207;SAN BLAS - CANILLEJAS;CANILLEJAS;40,4463;-3,6085;448398,238;4477471,817
AREA INFANTIL;CALLE SAN FAUSTINO nº 3;1828;20177;31016964;VALLA METALICA CON COLORINES;ARENA;0;ACCESO CON VALLA RETRANQUEADA;3;251,374;64,97;C · CALLE BOLTAÑA 59 , ASCENDIENTE 1: 207 · CANIL;SAN BLAS - CANILLEJAS;CANILLEJAS;40,447674;-3,60917;448342,47;4477624,748
AREA INFANTIL;CALLE MENDEZ ALVARO nº 40;65;2032;11009555;VALLA METALICA CON COLORINES;SUELO CAUCHO CON DIBUJOS;EN PLAZA PEATONAL;ACCESO CON VALLA RETRANQUEADA;4;144,716;48,93;C · CALLE MENDEZ ALVARO , ASCENDIENTE 1: 025 · DE;ARGANZUELA;DELICIAS;40,399292;-3,684816;441885,982;4472301,387
AREA INFANTIL;CALLE CONGOSTO nº 76;1562;18009;31006943;SIN VALLA;SUELO CAUCHO CON DIBUJOS;EN MEDIANA AJARDINADA;0;8;231,003;91,2;C · CALLE CONGOSTO , ASCENDIENTE 1: 181 · BARRIO;VILLA DE VALLECAS;CASCO HISTÓRICO DE VALLECAS;40,370127;-3,61768;447560,608;4469022,144
AREA INFANTIL;PLAZA SIERRA DE GRAZALEMA nº 4;1560;18007;20170674;VALLA DE MADERA CON COLORINES;SUELO CAUCHO CON DIBUJOS;EN ZONA INTERBLOQUES;0;7;314,055;71,44;Pza · PLAZA SIERRA DE GRAZALEMA , ASCENDIENTE 1:;VILLA DE VALLECAS;CASCO HISTÓRICO DE VALLECAS;40,373424;-3,618368;447504,794;4469388,498
AREA INFANTIL;CALLE VIA LUSITANA nº 19;862;11208;20024802;VALLA METALICA CON COLORINES;ARENA;EN PARQUE EMPERATRIZ MARIA DE AUSTRIA;ACCESO CON TRAMEX;6;385,343;82,38;PARQUE EMPERATRIZ MARIA DE AUSTRIA;CARABANCHEL;ABRANTES;40,377975;-3,726269;438348,758;4469963,282
AREA INFANTIL;PLAZA LUCA DE TENA nº 6;59;2026;11009927;VALLA METALICA DE COLOR GRIS;CAUCHO CON DIBUJOS;EN PLAZA;0;2;209,128;67,86;Pza · PLAZA LUCA DE TENA , ASCENDIENTE 1: 026 · P;ARGANZUELA;PALOS DE MOGUER;40,401568;-3,693455;441154,872;4472559,672
AREA INFANTIL;PLAZA LEALTAD nº 6;23;1027;31047833;SIN VALLA;ARENA;0;0;10;1086,297;182,3;BULEVAR PASEO DE LA CASTELLANA;CENTRO;CORTES;40,416492;-3,693908;441129,418;4474216,61
AREA INFANTIL;CALLE MINERVA nº 123;1675;19043;20180391;VALLA METALICA CON COLORINES;ARENA;0;ACCESO CON VALLA RETRANQUEADA Y TRAMEX;3;133,963;56,65;C · CALLE DEHESA DE VICALVARO , ASCENDIENTE 1: 19;VICALVARO;VALDERRIBAS;40,394582;-3,605563;448607,921;4471729,471
AREA INFANTIL;CALLE MARQUES DE FONTALBA nº 11;4463;21054;31042712;SIN VALLA;ARENA;EN ZONA DE BULEVAR;0;1;219,903;59,42;MEDIANA VALDEBEBAS;BARAJAS;TIMÓN;40,486137;-3,612232;448112,41;4481895,983
AREA INFANTIL;CALLE MARQUES DE FONTALBA nº 11;4464;21055;31042712;SIN VALLA;ARENA;EN ZONA DE BULEVAR;0;2;161,179;50,78;MEDIANA VALDEBEBAS;BARAJAS;TIMÓN;40,486123;-3,613048;448043,219;4481894,902
AREA INFANTIL;CALLE ESTANISLAO PEREZ PITA nº 56;4465;21057;31043621;SIN VALLA;ARENA;EN ZONA DE BULEVAR;0;1;227,749;60,29;MEDIANA VALDEBEBAS;BARAJAS;TIMÓN;40,489046;-3,609104;448379,715;4482216,953
AREA INFANTIL;CALLE ESTANISLAO PEREZ PITA nº 24;4467;21058;31041161;SIN VALLA;ARENA;EN ZONA DE BULEVAR;0;1;245,498;62,65;MEDIANA VALDEBEBAS;BARAJAS;TIMÓN;40,489044;-3,609675;448331,357;4482217,064
AREA INFANTIL;CALLE ESTANISLAO PEREZ PITA nº 18;4466;21060;31039190;SIN VALLA;ARENA;EN ZONA DE BULEVAR;0;1;194,929;56,46;MEDIANA VALDEBEBAS;BARAJAS;TIMÓN;40,489134;-3,610793;448236,616;4482227,755
AREA INFANTIL;CALLE ESTANISLAO PEREZ PITA nº 18;4468;21059;31039190;SIN VALLA;ARENA;EN ZONA DE BULEVAR;0;3;172,391;53,2;MEDIANA VALDEBEBAS;BARAJAS;TIMÓN;40,489031;-3,610581;448254,559;4482216,257
AREA INFANTIL;CALLE JORDI SOLE TURA nº 18;4473;16198;31051932;SIN VALLA;ARENA;EN ZONA DE BULEVAR;0;4;115,727;46,74;MEDIANA VALDEBEBAS;HORTALEZA;VALDEFUENTES;40,493467;-3,60976;448327,475;4482708,153
AREA INFANTIL;CALLE JORDI SOLE TURA nº 18;4474;16197;31051935;SIN VALLA;ARENA;EN ZONA DE BULEVAR;0;1;236,877;61,54;MEDIANA VALDEBEBAS;HORTALEZA;VALDEFUENTES;40,49347;-3,60913;448380,867;4482708,119
